id,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating
149,Entire home/apt,6,1,4,157,4.6
150,Private room,1,1,1,45,5.0
151,Entire home/apt,2,1,1,82,4.8
152,Entire home/apt,2,1,1,77,5.0
153,Entire home/apt,4,1,2,106,4.7
154,Entire home/apt,4,1,2,115,5.0
155,Entire home/apt,4,1,2,125,4.8
156,Entire home/apt,4,1,2,113,4.8
157,Private room,1,1,1,47,4.9
158,Entire home/apt,2,1,1,63,5.0
159,Entire home/apt,4,1,2,105,5.0
160,Entire home/apt,2,1,1,89,4.9
161,Private room,1,1,1,64,5.0
162,Entire home/apt,4,1.5,2,131,4.8
163,Entire home/apt,2,1,1,63,4.9
164,Private room,1,1,1,45,4.7
165,Entire home/apt,2,1,1,70,5.0
166,Entire home/apt,2,1,1,93,4.5
167,Entire home/apt,4,1,1,86,4.8
168,Entire home/apt,8,2,3,204,4.9
169,Entire home/apt,4,1.5,2,128,4.8
170,Entire home/apt,6,1,3,94,4.4
171,Entire home/apt,15,7,7,800,4.6
172,Private room,2,1,1,134,4.6
173,Private room,2,1,1,54,4.9
174,Private room,2,1,1,168,4.3
175,Entire home/apt,6,2,3,125,5.0
176,Entire home/apt,10,1,3,135,5.0
177,Private room,2,1,1,134,4.7
178,Private room,2,1,1,134,4.4
179,Entire home/apt,6,2,2,95,4.4
180,Private room,2,1,1,50,4.9
181,Entire home/apt,2,1,1,84,4.7
182,Private room,1,1,1,52,5.0
183,Entire home/apt,5,1,2,75,4.6
184,Entire home/apt,9,2,5,221,4.9
185,Entire home/apt,4,1,2,120,4.3
186,Entire home/apt,4,1,2,120,4.5
187,Entire home/apt,4,1,3,91,3.5
188,Entire home/apt,8,2,4,325,5.0
189,Entire home/apt,7,2,3,196,4.7
190,Entire home/apt,4,2,2,270,5.0
191,Private room,3,1,1,87,5.0
192,Private room,1,1.5,1,65,5.0
193,Entire home/apt,2,1,1,89,4.8
194,Private room,1,1,1,52,5.0
195,Entire home/apt,7,2,3,251,4.9
196,Entire home/apt,2,1,1,87,4.9
197,Entire home/apt,3,1,1,69,4.8
198,Private room,1,1,1,36,4.7
199,Private room,2,1.5,1,36,4.8
200,Entire home/apt,5,1,2,94,4.3
201,Entire home/apt,11,2,5,236,4.8
202,Entire home/apt,5,1,2,140,4.8
203,Entire home/apt,5,2,1,136,5.0
204,Entire home/apt,8,1,4,205,4.8
205,Private room,1,0,1,75,4.9
206,Entire home/apt,2,1,1,72,4.7
207,Entire home/apt,4,1,1,60,4.8
208,Entire home/apt,2,1,1,132,4.9
209,Entire home/apt,4,1,2,106,4.6
210,Private room,2,1,1,165,5.0
211,Private room,2,1,1,165,5.0
212,Private room,2,1,1,165,4.7
213,Entire home/apt,6,2,3,307,4.9
214,Private room,1,1,1,37,5.0
